name,category,date,amount_liters,created_at
Borra líquida,DERIVADOS,1974-12-21,5.136.979,2025-01-04 06:03:10.978925
Borra seca,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.009492
Vinho Composto,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.095107
Pisco,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.129026
Vinho orgânico,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.161349
Espumante orgânico,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.198812
Destilado alcoólico simples de bagaceira,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.232780
Vinho acidificado,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.265406
Mosto parcialmente fermentado,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.302309
Outros derivados,DERIVADOS,1974-12-21,-,2025-01-04 06:03:11.334423
Total,Total,1974-12-21,273.424.403,2025-01-04 06:03:11.366288
VINHO DE MESA,VINHO DE MESA,1975-12-21,177.401.209,2025-01-04 06:03:15.607298
Tinto,VINHO DE MESA,1975-12-21,144.274.134,2025-01-04 06:03:15.688760
Branco,VINHO DE MESA,1975-12-21,1.441.507,2025-01-04 06:03:15.717002
Rosado,VINHO DE MESA,1975-12-21,31.685.568,2025-01-04 06:03:15.778161
VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),1975-12-21,39.424.590,2025-01-04 06:03:15.817860
Tinto,VINHO FINO DE MESA (VINIFERA),1975-12-21,14.731.106,2025-01-04 06:03:15.847585
Branco,VINHO FINO DE MESA (VINIFERA),1975-12-21,21.933.695,2025-01-04 06:03:15.875844
Rosado,VINHO FINO DE MESA (VINIFERA),1975-12-21,2.759.789,2025-01-04 06:03:15.905252
SUCO,SUCO,1975-12-21,-,2025-01-04 06:03:16.060276
Suco de uva integral,SUCO,1975-12-21,-,2025-01-04 06:03:16.094027
Suco de uva concentrado,SUCO,1975-12-21,-,2025-01-04 06:03:16.402324
Suco de uva adoçado,SUCO,1975-12-21,-,2025-01-04 06:03:16.576008
Suco de uva orgânico,SUCO,1975-12-21,-,2025-01-04 06:03:16.791527
Suco de uva reconstituído,SUCO,1975-12-21,-,2025-01-04 06:03:16.895976
DERIVADOS,DERIVADOS,1975-12-21,53.633.143,2025-01-04 06:03:16.928817
Espumante,DERIVADOS,1975-12-21,-,2025-01-04 06:03:16.953140
Espumante moscatel,DERIVADOS,1975-12-21,-,2025-01-04 06:03:16.978475
Base espumante,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.003292
Base espumante moscatel,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.032866
Base Champenoise champanha,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.125060
Base Charmat champanha,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.159282
Bebida de uva,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.550676
Polpa de uva,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.693173
Mosto simples,DERIVADOS,1975-12-21,48.185.206,2025-01-04 06:03:17.721527
Mosto concentrado,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.844727
Mosto de uva com bagaço,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.876714
Mosto dessulfitado,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.906332
Mistelas,DERIVADOS,1975-12-21,223.000,2025-01-04 06:03:17.936564
Néctar de uva,DERIVADOS,1975-12-21,-,2025-01-04 06:03:17.964938
Licorosos,DERIVADOS,1975-12-21,24.000,2025-01-04 06:03:17.993832
Compostos,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.182503
Jeropiga,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.227134
Filtrado,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.284188
Frisante,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.325337
Vinho leve,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.355571
Vinho licoroso,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.590468
Brandy,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.741727
Destilado,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.769342
Bagaceira,DERIVADOS,1975-12-21,576.098,2025-01-04 06:03:18.795387
Licor de bagaceira,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.819639
Vinagre,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.901017
Borra líquida,DERIVADOS,1975-12-21,4.624.839,2025-01-04 06:03:18.925550
Borra seca,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.950662
Vinho Composto,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.974993
Pisco,DERIVADOS,1975-12-21,-,2025-01-04 06:03:18.998701
Vinho orgânico,DERIVADOS,1975-12-21,-,2025-01-04 06:03:19.028707
Espumante orgânico,DERIVADOS,1975-12-21,-,2025-01-04 06:03:19.057120
Destilado alcoólico simples de bagaceira,DERIVADOS,1975-12-21,-,2025-01-04 06:03:19.086587
Vinho acidificado,DERIVADOS,1975-12-21,-,2025-01-04 06:03:19.117583
Mosto parcialmente fermentado,DERIVADOS,1975-12-21,-,2025-01-04 06:03:19.152336
Outros derivados,DERIVADOS,1975-12-21,-,2025-01-04 06:03:19.185765
Total,Total,1975-12-21,270.458.942,2025-01-04 06:03:19.216220
VINHO DE MESA,VINHO DE MESA,1976-12-21,144.565.438,2025-01-04 06:03:22.910431
Tinto,VINHO DE MESA,1976-12-21,118.360.170,2025-01-04 06:03:22.935930
Branco,VINHO DE MESA,1976-12-21,1.871.473,2025-01-04 06:03:22.960651
Rosado,VINHO DE MESA,1976-12-21,24.333.795,2025-01-04 06:03:22.987189
VINHO FINO DE MESA (VINIFERA),VINHO FINO DE MESA (VINIFERA),1976-12-21,34.500.590,2025-01-04 06:03:23.189318
Tinto,VINHO FINO DE MESA (VINIFERA),1976-12-21,12.405.154,2025-01-04 06:03:23.227104
Branco,VINHO FINO DE MESA (VINIFERA),1976-12-21,19.874.659,2025-01-04 06:03:23.262354
Rosado,VINHO FINO DE MESA (VINIFERA),1976-12-21,2.220.777,2025-01-04 06:03:23.300040
SUCO,SUCO,1976-12-21,-,2025-01-04 06:03:23.340917
Suco de uva integral,SUCO,1976-12-21,-,2025-01-04 06:03:23.374216
Suco de uva concentrado,SUCO,1976-12-21,-,2025-01-04 06:03:23.405227
